index,GRID_ID,score_lu,score_emp,score_est,score_ind,score_fac,fq
322,CI-80,0.0,1.0,1.0,1.0,0.0,1.25
323,CJ-80,0.0,1.0,2.0,0.0,0.0,1.0
324,CK-80,0.0,1.0,2.0,1.0,0.0,1.5
325,CM-80,1.0,1.0,1.0,0.0,0.0,1.05
326,CP-80,1.0,0.0,0.0,0.0,0.0,0.3
327,CQ-80,2.0,1.0,0.0,0.0,0.0,1.1
328,CS-80,0.0,1.0,1.0,1.0,0.0,1.25
329,CT-80,0.0,1.0,0.0,0.0,0.0,0.5
330,BX-79,0.0,0.0,0.0,0.0,0.0,0.0
331,BY-79,0.0,0.0,0.0,0.0,0.0,0.0
332,BZ-79,0.0,1.0,1.0,0.0,0.0,0.75
333,CA-79,0.0,1.0,1.0,1.0,0.0,1.25
334,CD-79,0.0,1.0,1.0,0.0,0.0,0.75
335,CE-79,0.0,1.0,2.0,0.0,0.0,1.0
336,CF-79,1.0,0.0,0.0,0.0,0.0,0.3
337,CG-79,1.0,1.0,1.0,0.0,0.0,1.05
338,CH-79,0.0,1.0,1.0,1.0,0.0,1.25
339,CJ-79,0.0,1.0,2.0,1.0,0.0,1.5
340,CK-79,0.0,1.0,1.0,0.0,0.0,0.75
341,CL-79,0.0,2.0,1.0,0.0,0.0,1.25
342,CM-79,1.0,1.0,1.0,1.0,0.0,1.55
343,CP-79,1.0,1.0,0.0,0.0,0.0,0.8
344,CQ-79,0.0,1.0,1.0,1.0,0.0,1.25
345,CR-79,1.0,1.0,1.0,0.0,0.0,1.05
346,CS-79,0.0,0.0,0.0,0.0,0.0,0.0
347,CT-79,0.0,0.0,0.0,0.0,0.0,0.0
348,CU-79,0.0,1.0,1.0,1.0,0.0,1.25
349,BV-78,0.0,1.0,1.0,0.0,0.0,0.75
350,BW-78,0.0,0.0,0.0,0.0,0.0,0.0
351,BX-78,2.0,1.0,1.0,1.0,0.0,1.85
352,BY-78,1.0,1.0,1.0,1.0,0.0,1.55
353,BZ-78,1.0,2.0,1.0,2.0,0.0,2.55
354,CA-78,1.0,1.0,1.0,1.0,0.0,1.55
355,CB-78,0.0,1.0,1.0,0.0,0.0,0.75
356,CC-78,0.0,0.0,0.0,0.0,0.0,0.0
357,CD-78,0.0,1.0,1.0,1.0,0.0,1.25
358,CE-78,0.0,1.0,1.0,0.0,0.0,0.75
359,CF-78,0.0,1.0,1.0,0.0,0.0,0.75
360,CG-78,0.0,1.0,1.0,1.0,0.0,1.25
